states;states_code;id;year;population
Yerevan;AM-ER;1;2011;1060138
Yerevan;AM-ER;1;2012;1061044
Yerevan;AM-ER;1;2013;1066264
Yerevan;AM-ER;1;2014;1068306
Yerevan;AM-ER;1;2015;1071511
Yerevan;AM-ER;1;2016;1073660
Yerevan;AM-ER;1;2017;1075841
Yerevan;AM-ER;1;2018;1077590
Yerevan;AM-ER;1;2019;1081874
Yerevan;AM-ER;1;2020;1084024
Yerevan;AM-ER;1;2021;1091747
Yerevan;AM-ER;1;2022;1092778
Yerevan;AM-ER;1;2023;1098866
Aragatsotn;AM-AG;2;2011;132925
Aragatsotn;AM-AG;2;2012;133063
Aragatsotn;AM-AG;2;2013;133070
Aragatsotn;AM-AG;2;2014;132305
Aragatsotn;AM-AG;2;2015;131332
Aragatsotn;AM-AG;2;2016;129774
Aragatsotn;AM-AG;2;2017;128518
Aragatsotn;AM-AG;2;2018;127146
Aragatsotn;AM-AG;2;2019;125440
Aragatsotn;AM-AG;2;2020;124721
Aragatsotn;AM-AG;2;2021;124446
Aragatsotn;AM-AG;2;2022;124646
Aragatsotn;AM-AG;2;2023;125687
Ararat;AM-AR;3;2011;260367
Ararat;AM-AR;3;2012;260634
Ararat;AM-AR;3;2013;261335
Ararat;AM-AR;3;2014;260787
Ararat;AM-AR;3;2015;260102
Ararat;AM-AR;3;2016;258911
Ararat;AM-AR;3;2017;258407
Ararat;AM-AR;3;2018;257804
Ararat;AM-AR;3;2019;256688
Ararat;AM-AR;3;2020;256570
Ararat;AM-AR;3;2021;256630
Ararat;AM-AR;3;2022;256615
Ararat;AM-AR;3;2023;259277
Armavir;AM-AV;4;2011;265770
Armavir;AM-AV;4;2012;266151
Armavir;AM-AV;4;2013;267101
Armavir;AM-AV;4;2014;267187
Armavir;AM-AV;4;2015;267002
Armavir;AM-AV;4;2016;266613
Armavir;AM-AV;4;2017;265759
Armavir;AM-AV;4;2018;264617
Armavir;AM-AV;4;2019;263900
Armavir;AM-AV;4;2020;263863
Armavir;AM-AV;4;2021;263944
Armavir;AM-AV;4;2022;264383
Armavir;AM-AV;4;2023;266656
Gegharkunik;AM-GR;5;2011;235075
Gegharkunik;AM-GR;5;2012;235380
Gegharkunik;AM-GR;5;2013;235587
Gegharkunik;AM-GR;5;2014;234079
Gegharkunik;AM-GR;5;2015;232988
Gegharkunik;AM-GR;5;2016;231794
Gegharkunik;AM-GR;5;2017;230715
Gegharkunik;AM-GR;5;2018;229711
Gegharkunik;AM-GR;5;2019;228256
Gegharkunik;AM-GR;5;2020;227632
Gegharkunik;AM-GR;5;2021;227269
Gegharkunik;AM-GR;5;2022;227778
Gegharkunik;AM-GR;5;2023;228711
Lori;AM-LO;6;2011;235537
Lori;AM-LO;6;2012;235660
Lori;AM-LO;6;2013;234663
Lori;AM-LO;6;2014;230760
Lori;AM-LO;6;2015;227999
Lori;AM-LO;6;2016;224954
Lori;AM-LO;6;2017;221098
Lori;AM-LO;6;2018;217363
Lori;AM-LO;6;2019;215471
Lori;AM-LO;6;2020;213315
Lori;AM-LO;6;2021;212566
Lori;AM-LO;6;2022;211677
Lori;AM-LO;6;2023;211582
Kotayk;AM-KT;7;2011;254397
Kotayk;AM-KT;7;2012;254616
Kotayk;AM-KT;7;2013;255353
Kotayk;AM-KT;7;2014;254997
Kotayk;AM-KT;7;2015;254990
Kotayk;AM-KT;7;2016;253898
Kotayk;AM-KT;7;2017;252830
Kotayk;AM-KT;7;2018;251598
Kotayk;AM-KT;7;2019;251609
Kotayk;AM-KT;7;2020;250909
Kotayk;AM-KT;7;2021;251177
Kotayk;AM-KT;7;2022;251076
Kotayk;AM-KT;7;2023;253857
Shirak;AM-SH;8;2011;251941
Shirak;AM-SH;8;2012;252093
Shirak;AM-SH;8;2013;251267
Shirak;AM-SH;8;2014;248381
Shirak;AM-SH;8;2015;246409
Shirak;AM-SH;8;2016;243152
Shirak;AM-SH;8;2017;239278
Shirak;AM-SH;8;2018;235380
Shirak;AM-SH;8;2019;233245
Shirak;AM-SH;8;2020;231365
Shirak;AM-SH;8;2021;230963
Shirak;AM-SH;8;2022;230340
Shirak;AM-SH;8;2023;230476
Syunik;AM-SU;9;2011;141771
Syunik;AM-SU;9;2012;141747
Syunik;AM-SU;9;2013;141645
Syunik;AM-SU;9;2014;141001
Syunik;AM-SU;9;2015;140182
Syunik;AM-SU;9;2016;139471
Syunik;AM-SU;9;2017;138953
Syunik;AM-SU;9;2018;138397
Syunik;AM-SU;9;2019;137574
Syunik;AM-SU;9;2020;137312
Syunik;AM-SU;9;2021;135851
Syunik;AM-SU;9;2022;134731
Syunik;AM-SU;9;2023;134555
VayotsDzor;AM-VD;10;2011;52324
VayotsDzor;AM-VD;10;2012;52367
VayotsDzor;AM-VD;10;2013;52252
VayotsDzor;AM-VD;10;2014;51702
VayotsDzor;AM-VD;10;2015;51406
VayotsDzor;AM-VD;10;2016;50836
VayotsDzor;AM-VD;10;2017;50277
VayotsDzor;AM-VD;10;2018;49633
VayotsDzor;AM-VD;10;2019;48970
VayotsDzor;AM-VD;10;2020;48508
VayotsDzor;AM-VD;10;2021;48124
VayotsDzor;AM-VD;10;2022;47584
VayotsDzor;AM-VD;10;2023;47661
Tavush;AM-TV;11;2011;128609
Tavush;AM-TV;11;2012;128621
Tavush;AM-TV;11;2013;128342
Tavush;AM-TV;11;2014;127574
Tavush;AM-TV;11;2015;126677
Tavush;AM-TV;11;2016;125514
Tavush;AM-TV;11;2017;124475
Tavush;AM-TV;11;2018;123493
Tavush;AM-TV;11;2019;122242
Tavush;AM-TV;11;2020;121475
Tavush;AM-TV;11;2021;120534
Tavush;AM-TV;11;2022;119759
Tavush;AM-TV;11;2023;119802
